"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"801",801,2023,"SE","FT","Security Engineer",168000,"USD",168000,"US",100,"US","M"
"802",802,2023,"SE","FT","Security Engineer",250800,"USD",250800,"US",0,"US","M"
"803",803,2023,"SE","FT","Security Engineer",167200,"USD",167200,"US",0,"US","M"
"804",804,2023,"EX","FT","Information Security Analyst",80000,"USD",80000,"US",0,"US","M"
"805",805,2023,"EX","FT","Information Security Analyst",55000,"USD",55000,"US",0,"US","M"
"806",806,2023,"SE","FT","Security Engineer",250000,"USD",250000,"CA",100,"US","M"
"807",807,2023,"SE","FT","Security Researcher",192500,"USD",192500,"US",0,"US","M"
"808",808,2023,"SE","FT","Security Researcher",119000,"USD",119000,"US",0,"US","M"
"809",809,2023,"SE","FT","Professional Services Consultant",180500,"USD",180500,"US",0,"US","M"
"810",810,2023,"SE","FT","Professional Services Consultant",131300,"USD",131300,"US",0,"US","M"
"811",811,2023,"SE","FT","Professional Services Consultant",165000,"USD",165000,"US",0,"US","M"
"812",812,2023,"SE","FT","Professional Services Consultant",135000,"USD",135000,"US",0,"US","M"
"813",813,2023,"SE","FT","Compliance Manager",150000,"USD",150000,"US",0,"US","M"
"814",814,2023,"SE","FT","Compliance Manager",120000,"USD",120000,"US",0,"US","M"
"815",815,2023,"SE","FT","Cyber Security Analyst",200000,"USD",200000,"US",100,"US","L"
"816",816,2023,"SE","FT","Security Engineer",245000,"USD",245000,"US",0,"US","M"
"817",817,2023,"SE","FT","Security Engineer",223018,"USD",223018,"US",0,"US","M"
"818",818,2023,"SE","FT","Security Engineer",225000,"USD",225000,"US",0,"US","M"
"819",819,2023,"SE","FT","Security Engineer",156400,"USD",156400,"US",0,"US","M"
"820",820,2023,"MI","FT","DevSecOps Engineer",150000,"USD",150000,"US",0,"US","M"
"821",821,2023,"MI","FT","DevSecOps Engineer",130000,"USD",130000,"US",0,"US","M"
"822",822,2023,"SE","FT","Security Engineer",165000,"USD",165000,"US",100,"US","M"
"823",823,2023,"SE","FT","Security Engineer",140250,"USD",140250,"US",100,"US","M"
"824",824,2023,"EN","FT","Cyber Security Analyst",140000,"GBP",172256,"GB",0,"GB","L"
"825",825,2023,"SE","FT","Security Researcher",185000,"USD",185000,"US",0,"US","M"
"826",826,2023,"SE","FT","Security Researcher",120250,"USD",120250,"US",0,"US","M"
"827",827,2023,"MI","FT","Information Systems Security Officer",140000,"USD",140000,"US",0,"US","M"
"828",828,2023,"MI","FT","Information Systems Security Officer",92200,"USD",92200,"US",0,"US","M"
"829",829,2023,"SE","FT","Security Engineer",259000,"USD",259000,"US",100,"US","M"
"830",830,2023,"SE","FT","Security Engineer",197000,"USD",197000,"US",100,"US","M"
"831",831,2023,"SE","FT","Security Engineer",229550,"USD",229550,"US",0,"US","M"
"832",832,2023,"SE","FT","Security Engineer",141900,"USD",141900,"US",0,"US","M"
"833",833,2023,"SE","FT","Security Architect",233000,"USD",233000,"US",100,"US","M"
"834",834,2023,"SE","FT","Security Architect",198000,"USD",198000,"US",100,"US","M"
"835",835,2023,"SE","FT","Security Engineer",155000,"USD",155000,"US",100,"US","M"
"836",836,2023,"SE","FT","Security Engineer",105000,"USD",105000,"US",100,"US","M"
"837",837,2023,"SE","FT","Security Engineer",246000,"USD",246000,"US",0,"US","M"
"838",838,2023,"SE","FT","Security Engineer",164000,"USD",164000,"US",0,"US","M"
"839",839,2023,"MI","FT","Security Analyst",150000,"USD",150000,"US",50,"US","S"
"840",840,2023,"EN","PT","Cloud Cyber Security Analyst",300000,"ZAR",16498,"ZA",50,"ZA","L"
"841",841,2023,"SE","FT","Information Security Manager",67000,"EUR",72338,"MT",50,"MT","L"
"842",842,2023,"SE","FT","Security Architect",193000,"USD",193000,"US",0,"US","M"
"843",843,2023,"SE","FT","Security Architect",117000,"USD",117000,"US",0,"US","M"
"844",844,2023,"SE","FT","Security Engineer",148000,"USD",148000,"US",0,"US","M"
"845",845,2023,"SE","FT","Security Engineer",99000,"USD",99000,"US",0,"US","M"
"846",846,2023,"SE","FT","Security Researcher",225500,"USD",225500,"US",0,"US","M"
"847",847,2023,"SE","FT","Security Researcher",139400,"USD",139400,"US",0,"US","M"
"848",848,2023,"SE","FT","Security Analyst",130000,"USD",130000,"US",0,"US","M"
"849",849,2023,"SE","FT","Security Analyst",107000,"USD",107000,"US",0,"US","M"
"850",850,2023,"SE","FL","Cloud Security Architect",100000,"USD",100000,"SG",100,"SG","S"
"851",851,2023,"SE","FT","Detection Engineer",370000,"USD",370000,"US",100,"US","M"
"852",852,2023,"SE","FT","Detection Engineer",230000,"USD",230000,"US",100,"US","M"
"853",853,2023,"MI","FT","DevSecOps Engineer",147100,"USD",147100,"US",0,"US","M"
"854",854,2023,"MI","FT","DevSecOps Engineer",90700,"USD",90700,"US",0,"US","M"
"855",855,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"856",856,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"857",857,2023,"SE","FT","Security Engineer",237700,"USD",237700,"US",0,"US","M"
"858",858,2023,"SE","FT","Security Engineer",134400,"USD",134400,"US",0,"US","M"
"859",859,2023,"SE","FT","Security Engineer",175000,"USD",175000,"US",0,"US","M"
"860",860,2023,"SE","FT","Security Engineer",90000,"USD",90000,"US",0,"US","M"
"861",861,2023,"SE","FT","Security Engineer",270000,"USD",270000,"US",0,"US","M"
"862",862,2023,"SE","FT","Security Engineer",200000,"USD",200000,"US",0,"US","M"
"863",863,2023,"SE","FT","Security Engineer",135000,"USD",135000,"US",100,"US","M"
"864",864,2023,"SE","FT","Security Engineer",78000,"USD",78000,"US",100,"US","M"
"865",865,2023,"SE","FT","Security Researcher",192500,"USD",192500,"US",0,"US","M"
"866",866,2023,"SE","FT","Security Researcher",119000,"USD",119000,"US",0,"US","M"
"867",867,2023,"EN","FT","Security Engineer",170000,"USD",170000,"US",0,"US","M"
"868",868,2023,"EN","FT","Security Engineer",120000,"USD",120000,"US",0,"US","M"
"869",869,2023,"SE","FT","Security Engineer",220000,"USD",220000,"US",0,"US","M"
"870",870,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",0,"US","M"
"871",871,2023,"SE","FT","Malware Reverse Engineer",192500,"USD",192500,"US",0,"US","M"
"872",872,2023,"SE","FT","Malware Reverse Engineer",119000,"USD",119000,"US",0,"US","M"
"873",873,2023,"MI","FT","Cyber Security Engineer",130000,"USD",130000,"US",100,"US","M"
"874",874,2023,"SE","FT","Professional Services Consultant",180500,"USD",180500,"US",0,"US","M"
"875",875,2023,"SE","FT","Professional Services Consultant",131300,"USD",131300,"US",0,"US","M"
"876",876,2023,"SE","FT","Security Engineer",112000,"USD",112000,"US",100,"US","M"
"877",877,2023,"SE","FT","Security Engineer",64000,"USD",64000,"US",100,"US","M"
"878",878,2023,"EN","FT","Security Consultant",140000,"USD",140000,"US",0,"US","M"
"879",879,2023,"EN","FT","Security Consultant",70000,"USD",70000,"US",0,"US","M"
"880",880,2023,"SE","FT","Security Engineer",247000,"USD",247000,"US",0,"US","M"
"881",881,2023,"SE","FT","Security Engineer",168000,"USD",168000,"US",0,"US","M"
"882",882,2023,"SE","FT","Security Engineer",112000,"USD",112000,"US",100,"US","M"
"883",883,2023,"SE","FT","Security Engineer",64000,"USD",64000,"US",100,"US","M"
"884",884,2023,"SE","FT","Security Engineer",299500,"USD",299500,"US",0,"US","M"
"885",885,2023,"SE","FT","Security Engineer",208400,"USD",208400,"US",0,"US","M"
"886",886,2023,"SE","FT","DevSecOps Engineer",160000,"USD",160000,"US",0,"US","M"
"887",887,2023,"SE","FT","DevSecOps Engineer",130000,"USD",130000,"US",0,"US","M"
"888",888,2023,"MI","FT","Security Engineer",251000,"USD",251000,"US",0,"US","M"
"889",889,2023,"MI","FT","Security Engineer",167000,"USD",167000,"US",0,"US","M"
"890",890,2023,"MI","FT","DevSecOps Engineer",150000,"USD",150000,"US",0,"US","M"
"891",891,2023,"MI","FT","DevSecOps Engineer",130000,"USD",130000,"US",0,"US","M"
"892",892,2023,"EX","FT","Director of Information Security",228700,"USD",228700,"US",100,"US","M"
"893",893,2023,"EX","FT","Director of Information Security",171500,"USD",171500,"US",100,"US","M"
"894",894,2023,"EN","FT","IAM Engineer",73000,"USD",73000,"US",0,"US","M"
"895",895,2023,"SE","FT","Security Researcher",185000,"USD",185000,"US",0,"US","M"
"896",896,2023,"SE","FT","Security Researcher",120250,"USD",120250,"US",0,"US","M"
"897",897,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"898",898,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"899",899,2023,"SE","FT","Security Engineer",143750,"USD",143750,"US",0,"US","M"
"900",900,2023,"SE","FT","Security Engineer",87500,"USD",87500,"US",0,"US","M"
"901",901,2023,"SE","FT","Security Engineer",143800,"USD",143800,"US",100,"US","M"
"902",902,2023,"SE","FT","Security Engineer",89900,"USD",89900,"US",100,"US","M"
"903",903,2023,"SE","FT","Security Analyst",165000,"USD",165000,"US",100,"US","M"
"904",904,2023,"SE","FT","Security Analyst",140250,"USD",140250,"US",100,"US","M"
"905",905,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"906",906,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"907",907,2023,"MI","FT","Security Analyst",225000,"USD",225000,"US",100,"US","M"
"908",908,2023,"MI","FT","Security Analyst",75000,"USD",75000,"US",100,"US","M"
"909",909,2023,"EN","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"910",910,2023,"EN","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"911",911,2023,"SE","FT","Security Engineer",185000,"USD",185000,"US",100,"US","M"
"912",912,2023,"SE","FT","Security Engineer",165000,"USD",165000,"US",100,"US","M"
"913",913,2023,"MI","FT","Security Engineer",329500,"USD",329500,"US",0,"US","M"
"914",914,2023,"MI","FT","Security Engineer",269600,"USD",269600,"US",0,"US","M"
"915",915,2023,"SE","FT","Threat Intelligence Analyst",225500,"USD",225500,"US",0,"US","M"
"916",916,2023,"SE","FT","Threat Intelligence Analyst",139400,"USD",139400,"US",0,"US","M"
"917",917,2023,"SE","FT","Security Specialist",147100,"USD",147100,"US",0,"US","M"
"918",918,2023,"SE","FT","Security Specialist",90700,"USD",90700,"US",0,"US","M"
"919",919,2023,"SE","FT","Security Architect",230000,"USD",230000,"US",0,"US","M"
"920",920,2023,"SE","FT","Security Architect",160000,"USD",160000,"US",0,"US","M"
"921",921,2023,"SE","FT","Information Security Officer",233000,"USD",233000,"US",100,"US","M"
"922",922,2023,"SE","FT","Information Security Officer",176000,"USD",176000,"US",100,"US","M"
"923",923,2023,"SE","FT","Security Engineer",218100,"USD",218100,"US",0,"US","L"
"924",924,2023,"SE","FT","Security Engineer",83100,"USD",83100,"US",0,"US","L"
"925",925,2023,"SE","FT","Security Engineer",203000,"USD",203000,"US",0,"US","M"
"926",926,2023,"SE","FT","Security Engineer",119000,"USD",119000,"US",0,"US","M"
"927",927,2023,"SE","FT","Penetration Testing Engineer",247600,"USD",247600,"US",100,"US","L"
"928",928,2023,"SE","FT","Penetration Testing Engineer",136000,"USD",136000,"US",100,"US","L"
"929",929,2023,"SE","FT","IAM Engineer",94000,"EUR",101490,"EE",0,"EE","M"
"930",930,2023,"SE","FT","IAM Engineer",66000,"EUR",71259,"EE",0,"EE","M"
"931",931,2023,"SE","FT","Security Engineer",275900,"USD",275900,"US",100,"US","M"
"932",932,2023,"SE","FT","Security Engineer",187700,"USD",187700,"US",100,"US","M"
"933",933,2023,"SE","FT","Security Engineer",223602,"USD",223602,"US",0,"US","M"
"934",934,2023,"SE","FT","Security Engineer",159881,"USD",159881,"US",0,"US","M"
"935",935,2023,"SE","FT","Threat Intelligence Analyst",225500,"USD",225500,"US",0,"US","M"
"936",936,2023,"SE","FT","Threat Intelligence Analyst",139400,"USD",139400,"US",0,"US","M"
"937",937,2023,"SE","FT","Security Architect",195000,"USD",195000,"US",100,"US","M"
"938",938,2023,"SE","FT","Security Architect",170000,"USD",170000,"US",100,"US","M"
"939",939,2023,"SE","FT","Security Engineer",240000,"USD",240000,"US",0,"US","M"
"940",940,2023,"SE","FT","Security Engineer",180000,"USD",180000,"US",0,"US","M"
"941",941,2023,"MI","FT","Security Lead",90000,"USD",90000,"US",0,"US","M"
"942",942,2023,"MI","FT","Security Lead",80000,"USD",80000,"US",0,"US","M"
"943",943,2023,"SE","FT","Security Engineer",115000,"GBP",141496,"GB",0,"GB","M"
"944",944,2023,"SE","FT","Security Engineer",80000,"GBP",98432,"GB",0,"GB","M"
"945",945,2023,"SE","FT","Security Engineer",221000,"USD",221000,"US",0,"US","M"
"946",946,2023,"SE","FT","Security Engineer",185000,"USD",185000,"US",0,"US","M"
"947",947,2023,"EN","FT","Compliance Analyst",197000,"USD",197000,"US",100,"US","M"
"948",948,2023,"EN","FT","Compliance Analyst",123000,"USD",123000,"US",100,"US","M"
"949",949,2023,"SE","FT","Security Engineer",151200,"USD",151200,"GB",100,"GB","M"
"950",950,2023,"SE","FT","Security Engineer",100000,"USD",100000,"GB",100,"GB","M"
"951",951,2023,"SE","FT","Security Engineer",247500,"USD",247500,"US",0,"US","M"
"952",952,2023,"SE","FT","Security Engineer",153000,"USD",153000,"US",0,"US","M"
"953",953,2023,"SE","FT","Security Engineer",185000,"USD",185000,"US",100,"US","M"
"954",954,2023,"SE","FT","Security Engineer",175000,"USD",175000,"US",100,"US","M"
"955",955,2023,"SE","FT","Threat Intelligence Analyst",252000,"USD",252000,"US",0,"US","M"
"956",956,2023,"SE","FT","Threat Intelligence Analyst",168000,"USD",168000,"US",0,"US","M"
"957",957,2023,"EN","FT","Cyber Security Specialist",500000,"MXN",27392,"MX",100,"US","L"
"958",958,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"959",959,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"960",960,2023,"SE","FT","Security Analyst",222000,"USD",222000,"US",0,"US","M"
"961",961,2023,"SE","FT","Security Analyst",115920,"USD",115920,"US",0,"US","M"
"962",962,2023,"SE","FT","Security Engineer",165000,"USD",165000,"US",0,"US","M"
"963",963,2023,"SE","FT","Security Engineer",138000,"USD",138000,"US",0,"US","M"
"964",964,2023,"EN","FT","Security Engineer",120000,"USD",120000,"US",100,"US","M"
"965",965,2023,"EN","FT","Security Engineer",86700,"USD",86700,"US",100,"US","M"
"966",966,2023,"MI","FT","Security Engineer",329500,"USD",329500,"US",0,"US","M"
"967",967,2023,"MI","FT","Security Engineer",269600,"USD",269600,"US",0,"US","M"
"968",968,2023,"SE","FT","DevSecOps Engineer",210000,"USD",210000,"US",100,"US","M"
"969",969,2023,"SE","FT","DevSecOps Engineer",115000,"USD",115000,"US",100,"US","M"
"970",970,2023,"SE","FT","Security Engineer",247600,"USD",247600,"US",0,"US","L"
"971",971,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",0,"US","L"
"972",972,2023,"SE","FT","Security Analyst",179000,"USD",179000,"US",0,"US","M"
"973",973,2023,"SE","FT","Security Analyst",140000,"USD",140000,"US",0,"US","M"
"974",974,2023,"SE","FT","Security Engineer",131000,"USD",131000,"US",100,"US","M"
"975",975,2023,"SE","FT","Security Engineer",99000,"USD",99000,"US",100,"US","M"
"976",976,2023,"SE","FT","Security Engineer",300000,"USD",300000,"US",100,"US","M"
"977",977,2023,"SE","FT","Security Engineer",234000,"USD",234000,"US",100,"US","M"
"978",978,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"979",979,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"980",980,2023,"EN","FT","Security Engineer",120000,"USD",120000,"US",0,"US","M"
"981",981,2023,"EN","FT","Security Engineer",75000,"USD",75000,"US",0,"US","M"
"982",982,2023,"SE","FT","Security Engineer",329500,"USD",329500,"US",0,"US","M"
"983",983,2023,"SE","FT","Security Engineer",269600,"USD",269600,"US",0,"US","M"
"984",984,2023,"MI","FT","Cyber Security Engineer",107000,"USD",107000,"US",100,"US","L"
"985",985,2023,"SE","FT","Security Specialist",168400,"USD",168400,"US",0,"US","M"
"986",986,2023,"SE","FT","Security Specialist",105200,"USD",105200,"US",0,"US","M"
"987",987,2023,"SE","FT","Security Architect",193000,"USD",193000,"US",0,"US","M"
"988",988,2023,"SE","FT","Security Architect",117000,"USD",117000,"US",0,"US","M"
"989",989,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"990",990,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"991",991,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"992",992,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"993",993,2023,"SE","FT","Penetration Testing Engineer",212800,"USD",212800,"US",100,"US","L"
"994",994,2023,"SE","FT","Penetration Testing Engineer",135500,"USD",135500,"US",100,"US","L"
"995",995,2023,"SE","FT","Security Engineer",210000,"USD",210000,"US",100,"US","M"
"996",996,2023,"SE","FT","Security Engineer",180000,"USD",180000,"US",100,"US","M"
"997",997,2023,"SE","FT","Professional Services Consultant",145000,"USD",145000,"US",100,"US","M"
"998",998,2023,"SE","FT","Professional Services Consultant",122000,"USD",122000,"US",100,"US","M"
"999",999,2023,"SE","FT","Security Engineer",148000,"USD",148000,"US",0,"US","M"
"1000",1000,2023,"SE","FT","Security Engineer",99000,"USD",99000,"US",0,"US","M"
"1001",1001,2023,"SE","FT","Cyber Threat Intelligence Analyst",52200,"EUR",56359,"IT",100,"IT","M"
"1002",1002,2023,"SE","FT","Cyber Threat Intelligence Analyst",44272,"EUR",47799,"IT",100,"IT","M"
"1003",1003,2023,"SE","FT","Security Operations Engineer",223800,"USD",223800,"GB",0,"GB","M"
"1004",1004,2023,"SE","FT","Security Operations Engineer",172100,"USD",172100,"GB",0,"GB","M"
"1005",1005,2023,"SE","FT","Security Engineer",190000,"USD",190000,"US",100,"US","M"
"1006",1006,2023,"SE","FT","Security Engineer",136000,"USD",136000,"US",100,"US","M"
"1007",1007,2023,"SE","FT","Security Engineer",241000,"USD",241000,"US",100,"US","M"
"1008",1008,2023,"SE","FT","Security Engineer",172000,"USD",172000,"US",100,"US","M"
"1009",1009,2023,"SE","FT","Security Engineer",181400,"USD",181400,"US",100,"US","M"
"1010",1010,2023,"SE","FT","Security Engineer",82000,"USD",82000,"US",100,"US","M"
"1011",1011,2023,"SE","FT","Cyber Threat Intelligence Analyst",49500,"EUR",53444,"ES",100,"ES","M"
"1012",1012,2023,"SE","FT","Cyber Threat Intelligence Analyst",41818,"EUR",45150,"ES",100,"ES","M"
"1013",1013,2023,"SE","FT","Security Engineer",99290,"USD",99290,"US",100,"US","M"
"1014",1014,2023,"SE","FT","Security Engineer",78500,"USD",78500,"US",100,"US","M"
"1015",1015,2023,"SE","FT","Security Engineer",253000,"USD",253000,"US",100,"US","M"
"1016",1016,2023,"SE","FT","Security Engineer",172040,"USD",172040,"US",100,"US","M"
"1017",1017,2023,"SE","FT","Security Engineer",243000,"USD",243000,"US",0,"US","M"
"1018",1018,2023,"SE","FT","Security Engineer",162000,"USD",162000,"US",0,"US","M"
"1019",1019,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"1020",1020,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"1021",1021,2023,"SE","FT","Security Researcher",192500,"USD",192500,"US",0,"US","M"
"1022",1022,2023,"SE","FT","Security Researcher",140000,"USD",140000,"US",0,"US","M"
"1023",1023,2023,"SE","FT","DevSecOps Engineer",160000,"USD",160000,"US",0,"US","M"
"1024",1024,2023,"SE","FT","DevSecOps Engineer",130000,"USD",130000,"US",0,"US","M"
"1025",1025,2023,"SE","FT","Compliance Analyst",166000,"USD",166000,"US",100,"US","M"
"1026",1026,2023,"SE","FT","Compliance Analyst",127500,"USD",127500,"US",100,"US","M"
"1027",1027,2023,"SE","FT","Security Architect",195000,"USD",195000,"US",100,"US","M"
"1028",1028,2023,"SE","FT","Security Architect",170000,"USD",170000,"US",100,"US","M"
"1029",1029,2023,"SE","FT","Security Researcher",165000,"USD",165000,"US",0,"US","M"
"1030",1030,2023,"SE","FT","Security Researcher",107250,"USD",107250,"US",0,"US","M"
"1031",1031,2023,"SE","FT","Security Engineer",215000,"USD",215000,"US",100,"US","M"
"1032",1032,2023,"SE","FT","Security Engineer",159000,"USD",159000,"US",100,"US","M"
"1033",1033,2023,"SE","FT","Security Engineer",179600,"USD",179600,"US",100,"US","M"
"1034",1034,2023,"SE","FT","Security Engineer",104000,"USD",104000,"US",100,"US","M"
"1035",1035,2023,"SE","FT","Security Engineer",75000,"GBP",92280,"GB",100,"GB","M"
"1036",1036,2023,"SE","FT","Security Engineer",65000,"GBP",79976,"GB",100,"GB","M"
"1037",1037,2023,"MI","FT","Security Engineer",215000,"USD",215000,"US",100,"US","L"
"1038",1038,2023,"MI","FT","Security Engineer",159000,"USD",159000,"US",100,"US","L"
"1039",1039,2023,"SE","FT","Security Engineer",148000,"USD",148000,"US",0,"US","M"
"1040",1040,2023,"SE","FT","Security Engineer",99000,"USD",99000,"US",0,"US","M"
"1041",1041,2023,"SE","FT","Security Engineer",175000,"USD",175000,"US",0,"US","M"
"1042",1042,2023,"SE","FT","Security Engineer",90000,"USD",90000,"US",0,"US","M"
"1043",1043,2023,"EN","FT","Penetration Tester",70000,"CAD",51861,"CA",100,"CA","S"
"1044",1044,2023,"MI","FT","Application Security Engineer",80000,"CAD",59269,"CA",100,"CA","S"
"1045",1045,2023,"SE","FT","Security Researcher",225500,"USD",225500,"US",0,"US","M"
"1046",1046,2023,"SE","FT","Security Researcher",139400,"USD",139400,"US",0,"US","M"
"1047",1047,2023,"SE","FT","Professional Services Consultant",180500,"USD",180500,"US",0,"US","M"
"1048",1048,2023,"SE","FT","Professional Services Consultant",131300,"USD",131300,"US",0,"US","M"
"1049",1049,2023,"SE","FT","Security Researcher",225500,"USD",225500,"US",0,"US","M"
"1050",1050,2023,"SE","FT","Security Researcher",139400,"USD",139400,"US",0,"US","M"
"1051",1051,2023,"SE","FT","Privacy Manager",180000,"USD",180000,"US",100,"US","M"
"1052",1052,2023,"SE","FT","Privacy Manager",120000,"USD",120000,"US",100,"US","M"
"1053",1053,2023,"SE","FT","Security Researcher",225500,"USD",225500,"US",0,"US","M"
"1054",1054,2023,"SE","FT","Security Researcher",139400,"USD",139400,"US",0,"US","M"
"1055",1055,2023,"SE","FT","Security Architect",175000,"USD",175000,"US",0,"US","M"
"1056",1056,2023,"SE","FT","Security Architect",90000,"USD",90000,"US",0,"US","M"
"1057",1057,2023,"SE","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"1058",1058,2023,"SE","FT","Security Engineer",135500,"USD",135500,"US",0,"US","L"
"1059",1059,2023,"MI","FT","Security Engineer",212800,"USD",212800,"US",0,"US","L"
"1060",1060,2023,"MI","FT","Security Engineer",111600,"USD",111600,"US",0,"US","L"
"1061",1061,2023,"MI","FT","Information Security Analyst",80000,"USD",80000,"US",100,"US","M"
"1062",1062,2023,"MI","FT","Information Security Analyst",65000,"USD",65000,"US",100,"US","M"
"1063",1063,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"1064",1064,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"1065",1065,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"1066",1066,2023,"SE","FT","Security Engineer",105200,"USD",105200,"US",0,"US","M"
"1067",1067,2023,"SE","FT","Security Engineer",147100,"USD",147100,"US",0,"US","M"
"1068",1068,2023,"SE","FT","Security Engineer",90700,"USD",90700,"US",0,"US","M"
"1069",1069,2023,"SE","FT","DevSecOps Engineer",168400,"USD",168400,"US",0,"US","M"
"1070",1070,2023,"SE","FT","DevSecOps Engineer",105200,"USD",105200,"US",0,"US","M"
"1071",1071,2023,"MI","FT","Information Systems Security Officer",147100,"USD",147100,"US",0,"US","M"
"1072",1072,2023,"MI","FT","Information Systems Security Officer",90700,"USD",90700,"US",0,"US","M"
"1073",1073,2023,"SE","FT","Security Architect",193000,"USD",193000,"US",0,"US","M"
"1074",1074,2023,"SE","FT","Security Architect",117000,"USD",117000,"US",0,"US","M"
"1075",1075,2023,"SE","FT","Security Researcher",253200,"USD",253200,"US",0,"US","M"
"1076",1076,2023,"SE","FT","Security Researcher",156000,"USD",156000,"US",0,"US","M"
"1077",1077,2023,"SE","FT","DevSecOps Engineer",147100,"USD",147100,"US",0,"US","M"
"1078",1078,2023,"SE","FT","DevSecOps Engineer",90700,"USD",90700,"US",0,"US","M"
"1079",1079,2023,"SE","FT","Information Systems Security Manager",198800,"USD",198800,"US",0,"US","M"
"1080",1080,2023,"SE","FT","Information Systems Security Manager",122600,"USD",122600,"US",0,"US","M"
"1081",1081,2023,"SE","FT","Security Engineer",198800,"USD",198800,"US",0,"US","M"
"1082",1082,2023,"SE","FT","Security Engineer",122600,"USD",122600,"US",0,"US","M"
"1083",1083,2023,"SE","FT","Security Engineer",168400,"USD",168400,"US",0,"US","M"
"1084",1084,2023,"SE","FT","Security Engineer",90700,"USD",90700,"US",0,"US","M"
"1085",1085,2023,"SE","FT","Malware Reverse Engineer",147100,"USD",147100,"US",0,"US","M"
"1086",1086,2023,"SE","FT","Malware Reverse Engineer",90700,"USD",90700,"US",0,"US","M"
"1087",1087,2023,"SE","FT","DevSecOps Engineer",147100,"USD",147100,"US",0,"US","M"
"1088",1088,2023,"SE","FT","DevSecOps Engineer",90700,"USD",90700,"US",0,"US","M"
"1089",1089,2023,"SE","FT","Information Systems Security Officer",168400,"USD",168400,"US",0,"US","M"
"1090",1090,2023,"SE","FT","Information Systems Security Officer",105200,"USD",105200,"US",0,"US","M"
"1091",1091,2023,"EN","FT","Security Researcher",115100,"USD",115100,"US",0,"US","M"
"1092",1092,2023,"EN","FT","Security Researcher",73900,"USD",73900,"US",0,"US","M"
"1093",1093,2023,"SE","FT","Cyber Threat Analyst",168400,"USD",168400,"US",0,"US","M"
"1094",1094,2023,"SE","FT","Cyber Threat Analyst",105200,"USD",105200,"US",0,"US","M"
"1095",1095,2023,"SE","FT","Information System Security Officer",198800,"USD",198800,"US",0,"US","M"
"1096",1096,2023,"SE","FT","Information System Security Officer",122600,"USD",122600,"US",0,"US","M"
"1097",1097,2023,"SE","FT","Security Engineer",147100,"USD",147100,"US",0,"US","M"
"1098",1098,2023,"SE","FT","Security Engineer",90700,"USD",90700,"US",0,"US","M"
"1099",1099,2023,"SE","FT","DevSecOps Engineer",168400,"USD",168400,"US",0,"US","M"
"1100",1100,2023,"SE","FT","DevSecOps Engineer",105200,"USD",105200,"US",0,"US","M"
"1101",1101,2023,"SE","FT","Security Engineer",147100,"USD",147100,"US",0,"US","M"
"1102",1102,2023,"SE","FT","Security Engineer",90700,"USD",90700,"US",0,"US","M"
"1103",1103,2023,"SE","FT","Vulnerability Researcher",180000,"USD",180000,"US",0,"US","M"
"1104",1104,2023,"SE","FT","Vulnerability Researcher",138000,"USD",138000,"US",0,"US","M"
"1105",1105,2023,"SE","FT","Security Engineer",370000,"USD",370000,"US",100,"US","M"
"1106",1106,2023,"SE","FT","Security Engineer",230000,"USD",230000,"US",100,"US","M"
"1107",1107,2023,"SE","FT","Security Architect",233000,"USD",233000,"US",100,"US","M"
"1108",1108,2023,"SE","FT","Security Architect",144000,"USD",144000,"US",100,"US","M"
"1109",1109,2023,"SE","FT","Professional Services Consultant",175000,"USD",175000,"US",0,"US","M"
