"","X","work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"145",145,2023,"SE","FT","Security Engineer",120552,"USD",120552,"US",0,"US","M"
"146",146,2023,"SE","FT","Security Architect",247000,"USD",247000,"US",0,"US","M"
"147",147,2023,"SE","FT","Security Architect",164700,"USD",164700,"US",0,"US","M"
"148",148,2023,"MI","FT","Security Engineer",149500,"USD",149500,"US",0,"US","M"
"149",149,2023,"MI","FT","Security Engineer",80500,"USD",80500,"US",0,"US","M"
"150",150,2023,"MI","FT","Security Engineer",180000,"USD",180000,"US",100,"US","M"
"151",151,2023,"MI","FT","Security Engineer",120000,"USD",120000,"US",100,"US","M"
"152",152,2023,"SE","FT","Security Analyst",175000,"USD",175000,"US",0,"US","M"
"153",153,2023,"SE","FT","Security Analyst",157000,"USD",157000,"US",0,"US","M"
"154",154,2023,"SE","FT","Security Engineer",236160,"USD",236160,"US",100,"US","M"
"155",155,2023,"SE","FT","Security Engineer",159408,"USD",159408,"US",100,"US","M"
"156",156,2023,"SE","FT","GRC Specialist",170000,"USD",170000,"US",0,"US","M"
"157",157,2023,"SE","FT","GRC Specialist",150000,"USD",150000,"US",0,"US","M"
"158",158,2023,"SE","FT","Security Engineer",149500,"USD",149500,"CA",100,"CA","M"
"159",159,2023,"SE","FT","Security Engineer",149500,"USD",149500,"CA",100,"CA","M"
"160",160,2023,"SE","FT","Security Analyst",134000,"USD",134000,"US",0,"US","M"
"161",161,2023,"SE","FT","Security Analyst",90000,"USD",90000,"US",0,"US","M"
"162",162,2023,"SE","FT","Security Engineer",200000,"USD",200000,"US",100,"US","M"
"163",163,2023,"SE","FT","Security Engineer",160000,"USD",160000,"US",100,"US","M"
"164",164,2023,"EN","FT","Security Engineer",190000,"USD",190000,"US",0,"US","M"
"165",165,2023,"EN","FT","Security Engineer",149000,"USD",149000,"US",0,"US","M"
"166",166,2023,"SE","FT","Security Engineer",270600,"USD",270600,"US",100,"US","M"
"167",167,2023,"SE","FT","Security Engineer",180400,"USD",180400,"US",100,"US","M"
"168",168,2023,"SE","FT","Security Software Engineer",266875,"USD",266875,"US",0,"US","M"
"169",169,2023,"SE","FT","Security Software Engineer",128250,"USD",128250,"US",0,"US","M"
"170",170,2023,"MI","FT","Information Security Specialist",140000,"USD",140000,"US",100,"US","M"
"171",171,2023,"MI","FT","Information Security Specialist",70000,"USD",70000,"US",100,"US","M"
"172",172,2023,"MI","FT","Information System Security Officer",134550,"USD",134550,"US",0,"US","M"
